DF,M,N,K,cycles,MACper100,sumC
WS,8,8,8,261,196,-2582
WS,16,16,16,316,1296,1808
WS,32,32,32,634,5168,2075
WS,64,64,64,2430,10787,-4371
WS,128,128,128,12694,16520,11113
WS,256,256,256,79963,20981,-64367
WS,512,512,512,572351,23450,-241459
OS,8,8,8,358,143,-2582
OS,16,16,16,384,1066,1808
OS,32,32,32,714,4589,2075
OS,64,64,64,2404,10904,-4371
OS,128,128,128,13977,15004,11113
OS,256,256,256,99569,16849,-64367
OS,512,512,512,902505,14871,-240949
