HeaderLine,ResultLine
"== Offloading threshold sweep (M=12, N=12, row-major, blocked-CPU) ==","[K= 2] CPU:      4046 cyc | ACC(OS):      1967 cyc | speedup=  2.05x <- OFFLOAD"
"== Offloading threshold sweep (M=12, N=12, row-major, blocked-CPU) ==","[K= 3] CPU:      4172 cyc | ACC(OS):      2016 cyc | speedup=  2.06x <- OFFLOAD"
"== Offloading threshold sweep (M=12, N=12, row-major, blocked-CPU) ==","[K= 4] CPU:      4858 cyc | ACC(OS):      1943 cyc | speedup=  2.50x <- OFFLOAD"
"== Offloading threshold sweep (M=12, N=12, row-major, blocked-CPU) ==","[K= 5] CPU:      6462 cyc | ACC(OS):      1973 cyc | speedup=  3.27x <- OFFLOAD"
"== Offloading threshold sweep (M=12, N=12, row-major, blocked-CPU) ==","[K= 6] CPU:      6105 cyc | ACC(OS):      1918 cyc | speedup=  3.18x <- OFFLOAD"
"== Offloading threshold sweep (M=12, N=12, row-major, blocked-CPU) ==","[K= 7] CPU:      7421 cyc | ACC(OS):      1970 cyc | speedup=  3.76x <- OFFLOAD"
"== Offloading threshold sweep (M=12, N=12, row-major, blocked-CPU) ==","[K= 8] CPU:      8038 cyc | ACC(OS):      1928 cyc | speedup=  4.16x <- OFFLOAD"
"== Offloading threshold sweep (M=4, N=8, row-major, blocked-CPU) ==","[K= 1] CPU:       573 cyc | ACC(OS):      1931 cyc | speedup=  0.29x "
"== Offloading threshold sweep (M=4, N=8, row-major, blocked-CPU) ==","[K= 2] CPU:       516 cyc | ACC(OS):      1880 cyc | speedup=  0.27x "
"== Offloading threshold sweep (M=4, N=8, row-major, blocked-CPU) ==","[K= 3] CPU:      1017 cyc | ACC(OS):      1946 cyc | speedup=  0.52x "
"== Offloading threshold sweep (M=4, N=8, row-major, blocked-CPU) ==","[K= 4] CPU:      1180 cyc | ACC(OS):      1947 cyc | speedup=  0.60x "
"== Offloading threshold sweep (M=4, N=8, row-major, blocked-CPU) ==","[K= 5] CPU:      1513 cyc | ACC(OS):      1953 cyc | speedup=  0.77x "
"== Offloading threshold sweep (M=4, N=8, row-major, blocked-CPU) ==","[K= 6] CPU:      1768 cyc | ACC(OS):      1936 cyc | speedup=  0.91x "
"== Offloading threshold sweep (M=4, N=8, row-major, blocked-CPU) ==","[K= 7] CPU:      1997 cyc | ACC(OS):      1887 cyc | speedup=  1.05x <- OFFLOAD"
"== Offloading threshold sweep (M=4, N=8, row-major, blocked-CPU) ==","[K= 8] CPU:      2248 cyc | ACC(OS):      1880 cyc | speedup=  1.19x <- OFFLOAD"
"== Offloading threshold sweep (M=4, N=12, row-major, blocked-CPU) ==","[K= 1] CPU:      1102 cyc | ACC(OS):      1952 cyc | speedup=  0.56x "
"== Offloading threshold sweep (M=4, N=12, row-major, blocked-CPU) ==","[K= 2] CPU:      2007 cyc | ACC(OS):      1917 cyc | speedup=  1.04x <- OFFLOAD"
"== Offloading threshold sweep (M=4, N=12, row-major, blocked-CPU) ==","[K= 3] CPU:      1629 cyc | ACC(OS):      1974 cyc | speedup=  0.82x "
"== Offloading threshold sweep (M=4, N=12, row-major, blocked-CPU) ==","[K= 4] CPU:      1910 cyc | ACC(OS):      1889 cyc | speedup=  1.01x <- OFFLOAD"
"== Offloading threshold sweep (M=4, N=12, row-major, blocked-CPU) ==","[K= 5] CPU:      3011 cyc | ACC(OS):      1904 cyc | speedup=  1.58x <- OFFLOAD"
"== Offloading threshold sweep (M=4, N=12, row-major, blocked-CPU) ==","[K= 6] CPU:      2792 cyc | ACC(OS):      1886 cyc | speedup=  1.48x <- OFFLOAD"
"== Offloading threshold sweep (M=4, N=12, row-major, blocked-CPU) ==","[K= 7] CPU:      3107 cyc | ACC(OS):      1910 cyc | speedup=  1.62x <- OFFLOAD"
"== Offloading threshold sweep (M=4, N=12, row-major, blocked-CPU) ==","[K= 8] CPU:      2898 cyc | ACC(OS):      1888 cyc | speedup=  1.53x <- OFFLOAD"
"== Offloading threshold sweep (M=6, N=10, row-major, blocked-CPU) ==","[K= 1] CPU:      1684 cyc | ACC(OS):      1926 cyc | speedup=  0.87x "
"== Offloading threshold sweep (M=6, N=10, row-major, blocked-CPU) ==","[K= 2] CPU:      1913 cyc | ACC(OS):      1896 cyc | speedup=  1.00x <- OFFLOAD"
"== Offloading threshold sweep (M=6, N=10, row-major, blocked-CPU) ==","[K= 3] CPU:      2106 cyc | ACC(OS):      1892 cyc | speedup=  1.11x <- OFFLOAD"
"== Offloading threshold sweep (M=6, N=10, row-major, blocked-CPU) ==","[K= 4] CPU:      2515 cyc | ACC(OS):      1908 cyc | speedup=  1.31x <- OFFLOAD"
"== Offloading threshold sweep (M=6, N=10, row-major, blocked-CPU) ==","[K= 5] CPU:      3613 cyc | ACC(OS):      1940 cyc | speedup=  1.86x <- OFFLOAD"
"== Offloading threshold sweep (M=6, N=10, row-major, blocked-CPU) ==","[K= 6] CPU:      2849 cyc | ACC(OS):      1902 cyc | speedup=  1.49x <- OFFLOAD"
"== Offloading threshold sweep (M=6, N=10, row-major, blocked-CPU) ==","[K= 7] CPU:      4113 cyc | ACC(OS):      1940 cyc | speedup=  2.12x <- OFFLOAD"
"== Offloading threshold sweep (M=6, N=10, row-major, blocked-CPU) ==","[K= 8] CPU:      3537 cyc | ACC(OS):      1961 cyc | speedup=  1.80x <- OFFLOAD"
"== Offloading threshold sweep (M=8, N=12, row-major, blocked-CPU) ==","[K= 1] CPU:      2545 cyc | ACC(OS):      1926 cyc | speedup=  1.32x <- OFFLOAD"
"== Offloading threshold sweep (M=8, N=12, row-major, blocked-CPU) ==","[K= 2] CPU:      2935 cyc | ACC(OS):      1923 cyc | speedup=  1.52x <- OFFLOAD"
"== Offloading threshold sweep (M=8, N=12, row-major, blocked-CPU) ==","[K= 3] CPU:      2721 cyc | ACC(OS):      1921 cyc | speedup=  1.41x <- OFFLOAD"
"== Offloading threshold sweep (M=8, N=12, row-major, blocked-CPU) ==","[K= 4] CPU:      3232 cyc | ACC(OS):      1922 cyc | speedup=  1.68x <- OFFLOAD"
"== Offloading threshold sweep (M=8, N=12, row-major, blocked-CPU) ==","[K= 5] CPU:      4625 cyc | ACC(OS):      1908 cyc | speedup=  2.42x <- OFFLOAD"
"== Offloading threshold sweep (M=8, N=12, row-major, blocked-CPU) ==","[K= 6] CPU:      4274 cyc | ACC(OS):      1991 cyc | speedup=  2.14x <- OFFLOAD"
"== Offloading threshold sweep (M=8, N=12, row-major, blocked-CPU) ==","[K= 7] CPU:      5228 cyc | ACC(OS):      1922 cyc | speedup=  2.72x <- OFFLOAD"
