DF,M,N,K,cycles,MACper100,sumC
WS,8,8,8,356,143,-2582
WS,16,16,16,356,143,-2582
WS,32,32,32,356,143,-2582
WS,64,64,64,356,143,-2582
WS,128,128,128,356,143,-2582
WS,256,256,256,356,143,-2582
WS,512,512,512,356,143,-2582
OS,8,8,8,356,143,-2582
OS,16,16,16,356,143,-2582
OS,32,32,32,356,143,-2582
OS,64,64,64,356,143,-2582
OS,128,128,128,356,143,-2582
OS,256,256,256,356,143,-2582
OS,512,512,512,356,143,-2582
