DF,M,N,K,cycles,MACper100,sumC
WS,8,8,8,289,177,-2582
WS,16,16,16,366,1119,1808
WS,32,32,32,807,4060,2075
WS,64,64,64,3172,8264,-4371
WS,128,128,128,14298,14667,11113
WS,256,256,256,77157,21744,-64367
WS,512,512,512,615096,21820,-241459
WS,1024,1024,1024,5825707,18431,-461796
OS,8,8,8,530,96,-2582
OS,16,16,16,547,748,1808
OS,32,32,32,1017,3222,2075
OS,64,64,64,3914,6697,-4371
OS,128,128,128,21670,9677,11113
OS,256,256,256,144406,11618,-64367
OS,512,512,512,1199921,11185,-240949
