DF,M,N,K,cycles,MACper100,sumC
WS,128,32,256,8204,12781,-7309
WS,128,32,512,14582,14381,1979
WS,128,64,16,3871,3385,2198
WS,128,64,64,5865,8939,-7436
WS,128,64,256,14327,14637,16143
WS,128,64,512,25485,16457,-3854
WS,128,128,16,7123,3680,-39398
WS,128,128,64,10112,10369,-3971
WS,128,128,256,22493,18647,29320
WS,128,128,512,41180,20370,-15350
WS,128,256,16,13033,4022,-31390
WS,128,256,64,16766,12508,13326
WS,128,256,256,40203,20865,-39864
WS,128,256,512,75960,22086,-28335
OS,8,8,16,531,192,-632
OS,8,8,64,666,615,-32
OS,8,8,256,1128,1452,223
OS,8,8,512,1723,1901,-287
OS,8,16,16,535,382,446
OS,8,16,64,663,1235,1403
OS,8,16,256,1130,2899,-1594
OS,8,16,512,1719,3812,1466
OS,8,24,16,628,489,-2136
OS,8,24,64,785,1565,-2136
OS,8,24,256,1810,2715,-2136
OS,8,24,512,3357,2928,-861
OS,8,32,16,611,670,1428
OS,8,32,64,788,2079,-1765
OS,8,32,256,1559,4203,-1913
OS,8,32,512,2859,4584,-383
OS,8,64,16,777,1054,-2041
OS,8,64,64,1081,3031,1019
OS,8,64,256,2923,4484,1926
OS,8,64,512,5414,4841,2294
OS,8,128,16,1123,1458,1350
OS,8,128,64,1813,3614,-3063
OS,8,128,256,5638,4649,5467
OS,8,128,512,10538,4975,4333
OS,8,256,16,1820,1800,-2183
OS,8,256,64,3584,3657,5881
OS,8,256,256,11077,4733,11758
OS,8,256,512,20765,5049,3251
OS,16,8,16,545,375,-1939
OS,16,8,64,671,1220,-574
OS,16,8,256,1196,2739,191
OS,16,8,512,2003,3271,701
OS,16,16,16,547,748,1808
OS,16,16,64,681,2405,5674
OS,16,16,256,1206,5434,-3443
OS,16,16,512,2008,6527,1147
OS,16,24,16,630,975,-3597
OS,16,24,64,824,2982,-4017
OS,16,24,256,1975,4977,-2742
OS,16,24,512,3682,5339,1593
OS,16,32,16,629,1302,1944
OS,16,32,64,799,4101,147
OS,16,32,256,1753,7477,-766
OS,16,32,512,3202,8186,1888
OS,16,64,16,818,2002,-494
OS,16,64,64,1175,5577,-813
OS,16,64,256,3230,8115,5240
OS,16,64,512,5861,8945,-257
OS,16,128,16,1303,2514,-2023
OS,16,128,64,2182,6006,-761
OS,16,128,256,6122,8563,6313
OS,16,128,512,11143,9410,868
OS,16,256,16,2276,2879,-9321
OS,16,256,64,4345,6033,6811
OS,16,256,256,11955,8771,1533
OS,16,256,512,21792,9623,1210
OS,24,8,16,701,438,-696
OS,24,8,64,880,1396,414
OS,24,8,256,1651,2977,-861
OS,24,8,512,2996,3281,1179
OS,24,16,16,697,881,-551
OS,24,16,64,877,2802,5196
OS,24,16,256,1655,5939,-3762
OS,24,16,512,2996,6562,1338
OS,24,24,16,898,1026,-5397
OS,24,24,64,1215,3034,-3480
OS,24,24,256,2984,4941,-1818
OS,24,24,512,5482,5379,987
OS,24,32,16,889,1382,2326
OS,24,32,64,1215,4045,2059
OS,24,32,256,2769,7100,-129
OS,24,32,512,5002,7861,1076
OS,24,64,16,1237,1986,-2739
OS,24,64,64,1807,5440,-1324
OS,24,64,256,5102,7707,2060
OS,24,64,512,9211,8537,-1348
OS,24,128,16,1956,2512,-7551
OS,24,128,64,3524,5579,-1131
OS,24,128,256,9700,8107,9351
OS,24,128,512,17525,8974,3389
OS,24,256,16,3913,2512,3605
OS,24,256,64,6949,5658,6578
OS,24,256,256,18973,8290,-4208
OS,24,256,512,34347,9158,-579
OS,32,8,16,717,571,-157
OS,32,8,64,905,1810,127
OS,32,8,256,1793,3655,-1403
OS,32,8,512,3267,4011,-128
OS,32,16,16,721,1136,-360
OS,32,16,64,899,3644,6152
OS,32,16,256,1805,7261,-4846
OS,32,16,512,3285,7980,1019
OS,32,24,16,943,1303,-6258
OS,32,24,64,1265,3885,-2819
OS,32,24,256,3192,6159,-384
OS,32,24,512,5820,6756,2676
OS,32,32,16,931,1759,2379
OS,32,32,64,1253,5230,4226
OS,32,32,256,2988,8773,-3317
OS,32,32,512,5365,9772,438
OS,32,64,16,1313,2495,-5372
OS,32,64,64,2030,6456,-2512
OS,32,64,256,5417,9678,3079
OS,32,64,512,9646,10870,-839
OS,32,128,16,2166,3025,-11775
OS,32,128,64,3947,6641,6579
OS,32,128,256,10183,10297,12919
OS,32,128,512,18188,11530,-3753
OS,32,256,16,4518,2901,-3880
OS,32,256,64,7777,6741,4918
OS,32,256,256,19810,10586,1039
OS,32,256,512,35346,11866,-3790
OS,64,8,16,1049,780,2010
OS,64,8,64,1375,2383,-511
OS,64,8,256,3252,4030,-5101
OS,64,8,512,5913,4433,-1531
OS,64,16,16,1050,1560,4627
OS,64,16,64,1376,4762,1301
OS,64,16,256,3319,7898,-6818
OS,64,16,512,5979,8768,-2042
OS,64,24,16,1463,1679,-8351
OS,64,24,64,2052,4790,-4846
OS,64,24,256,5581,7045,-1800
OS,64,24,512,10057,7819,6372
OS,64,32,16,1462,2241,713
OS,64,32,64,2051,6390,6866
OS,64,32,256,5432,9651,-5306
OS,64,32,512,9662,10852,4790
OS,64,64,16,2251,2911,-6506
OS,64,64,64,3914,6697,-4371
OS,64,64,256,9778,10723,6900
OS,64,64,512,17232,12170,27
OS,64,128,16,4569,2868,-23225
OS,64,128,64,7422,7063,9189
OS,64,128,256,18337,11436,19342
OS,64,128,512,32230,13013,-10848
OS,64,256,16,9181,2855,-25555
OS,64,256,64,14517,7223,-1153
OS,64,256,256,35481,11821,-16963
OS,64,256,512,62812,13355,-25097
OS,128,8,16,1684,972,3256
OS,128,8,64,2297,2853,-5357
OS,128,8,256,6149,4263,-4292
OS,128,8,512,11189,4685,2946
OS,128,16,16,1675,1956,9251
OS,128,16,64,2296,5708,4513
OS,128,16,256,6315,8302,-10900
OS,128,16,512,11406,9193,-875
OS,128,24,16,2506,1961,-11231
OS,128,24,64,3873,5076,-5820
OS,128,24,256,10352,7596,6054
OS,128,24,512,18574,8468,3564
OS,128,32,16,2491,2630,8802
OS,128,32,64,4034,6498,14570
OS,128,32,256,10308,10172,-7309
OS,128,32,512,18327,11442,1979
OS,128,64,16,4827,2715,2198
OS,128,64,64,7600,6898,-7436
OS,128,64,256,18542,11310,16143
OS,128,64,512,32406,12942,-3854
OS,128,128,16,9410,2785,-39398
OS,128,128,64,14393,7285,-3971
OS,128,128,256,34592,12125,29320
OS,128,128,512,60624,13837,-15860
OS,128,256,16,18752,2795,-31390
OS,128,256,64,28660,7317,13326
OS,128,256,256,69539,12063,-39864
OS,128,256,512,123216,13616,-28590
