DF,M,N,K,cycles,MACper100,sumC
WS,8,8,8,318,161,-2582
WS,16,16,16,457,896,1808
WS,32,32,32,1218,2690,2075
WS,64,64,64,4683,5597,-4371
WS,128,128,128,19163,10943,11113
WS,256,256,256,101942,16457,-64367
WS,512,512,512,703477,19079,-241459
OS,8,8,8,356,143,-2582
OS,16,16,16,512,800,1808
OS,32,32,32,1246,2629,2075
OS,64,64,64,4672,5610,-4371
OS,128,128,128,22568,9292,11113
OS,256,256,256,139911,11991,-64367
OS,512,512,512,1064072,12613,-240949
